շռել,ել,չբ.
մոռանալ,ալ,նբ.
կաշառել,ել,նբ.
նեղանալ,ալ,չբ.
վաճառել,ել,նբ.
սրճել,ել,չբ.,նբ.
կոտրել,ել,նբ.
փչանալ,ալ,չբ.
զարթնել,ել,չբ.
արթնանալ,ալ,չբ.
մնալ,ալ,չբ.
կրկնել,ել,նբ.
կպչել,ել,չբ.
դարսել,ել,նբ.
զարդարել,ել,նբ.
ճաքել,ել,չբ.
կիտել,ել,նբ.
քցել,ել,նբ.
պակասել,ել,չբ.
փայլել,ել,չբ.
զբոսնել,ել,չբ.,նբ.
արկանել,ել,նբ.
բազմել,ել,չբ.
հայել,ել,չբ.
երկնչել,ել,չբ.
թաքչել,ել,չբ.
առաքել,ել,նբ.
մերձենալ,ալ,չբ.
համբերել,ել,չբ.
ուսանել,ել,նբ.,չբ.
մեծանալ,ալ,չբ.
հագենալ,ալ,չբ.
համենալ,ալ,չբ.
բանալ,ալ,նբ.
կառչել,ել,չբ.
հանգել,ել,չբ.
մատչել,ել,չբ.
փախնել,ել,չբ.
կորնչել,ել,չբ.
կորել,ել,չբ.
կործանել,ել,նբ.
կործել,ել,նբ.
ամաչել,ել,չբ.
անիծել,ել,նբ.
անջատել,ել,նբ.
արածել,ել,չբ.,նբ.
զատել,ել,նբ.
զեղծել,ել,նբ.
լքել,ել,նբ.
սուզել,ել,նբ.
տարածել,ել,նբ.
ծածանել,ել,նբ.,չբ.
սասանել,ել,նբ.
փոխել,ել,նբ.
խափանել,ել,նբ.
կամենալ,ալ,նբ.
գոհանալ,ալ,չբ.
թուլանալ,ալ,չբ.
հեռանալ,ալ,չբ.
մերկանալ,ալ,չբ.
սլանալ,ալ,չբ.
բարձրանալ,ալ,չբ.
բաղձալ,ալ,նբ.
զղջալ,ալ,չբ.,նբ.
ըղձալ,ալ,նբ.,չբ.
խրոխտալ,ալ,չբ.
ծուլանալ,ալ,չբ.
մուրալ,ալ,չբ.
ոխանալ,ալ,չբ.
տաղտկանալ,ալ,չբ.
տենչալ,ալ,չբ.
կլանել,ել,նբ.
սորալ,ալ,չբ.
խածատել,ել,նբ.
խանձատել,ել,նբ.
խոցոտել,ել,նբ.,չբ.
ճեմել,ել,չբ.
շիկնել,ել,չբ.
պայթել,ել,չբ.
վախել,ել,չբ.
արգելել,ել,նբ.
զենել,ել,նբ.
կիզել,ել,նբ.
գերծել,ել,նբ.
ստեղծել,ել,նբ.
եղծանել,ել,նբ.
եղծել,ել,նբ.
ընդոստել,ել,չբ.
ուռչել,ել,չբ.
սառել,ել,չբ.
մեղկանալ,ալ,չբ.
գուշակել,ել,նբ.
փողոտել,ել,նբ.
գթալ,ալ,չբ.
փութալ,ալ,չբ.
խիթալ,ալ,չբ.
դողալ,ալ,չբ.
եռալ,ալ,չբ.
զեռալ,ալ,չբ.
խոկալ,ալ,նբ.,չբ.
հոգալ,ալ,չբ.,նբ.
շողալ,ալ,չբ.,նբ.
ողբալ,ալ,չբ.,նբ.
ոռնալ,ալ,չբ.,նբ.
ջանալ,ալ,չբ.
սգալ,ալ,չբ.,նբ.
սիգալ,ալ,չբ.
