բերել,{{hy-conj-el|բեր|imp1=բե՛ր|prohib1=[[մի՛]] [[բեր]]|mp=on|note=Note the irregular imperative {{m|hy|բե՛ր}}}}
քաղել,{{hy-conj-ել|քաղ|mp=on}}
խօսել,{{hy-conj-ել-TAO|խօս|mp=on|caus=on}}
բացել,"{{hy-conj-el|բաց|imp1=[[բա՛ց]], [[բացի՛ր]], [[բացի՛]]*|prohib1=[[մի՛]] [[բաց]], [[մի՛]] [[բացիր]], [[մի՛]] [[բացի]]*|mp=on|note=Note the irregular imperative {{m|hy|բա՛ց}}.}}"
փակել,{{hy-conj-ել|փակ|mp=on}}
ըմպել,{{hy-conj-ել|ըմպ|mp=on}}
բրդել,{{hy-conj-ել|բրդ|mp=on}}
թռչել,{{hy-conj-ել|թռչ||թռ|caus=on}}
թռնել,{{hy-conj-ել|թռն||թռ|caus=on}}
հետեւել,{{hy-conj-ել|հետեւ|mp=on|caus=on}}
բուսնել,{{hy-conj-ել|բուսն}}
խաղալ,{{hy-conj-ալ}}
նվագել,{{hy-conj-ել|նվագ|mp=on}}
թանալ,{{hy-conj-ալ|թան|mp=on}}
թրջել,{{hy-conj-ել|թրջ|mp=on}}
թառամել,{{hy-conj-ել|թառամ|caus=on}}
թարշամել,{{hy-conj-ել|թարշամ|caus=on}}
հաշվել,{{hy-conj-ել|հաշվ|mp=on}}
քերել,{{hy-conj-ել|քեր|mp=on}}
աղալ,{{hy-conj-ալ|աղ|caus=on}}
արտասվել,{{hy-conj-ել|արտասվ}}
դիել,{{hy-conj-ել|դի|caus=on}}
երգել,{{hy-conj-ել|երգ|mp=on|caus=on}}
կրծել,{{hy-conj-ել|կրծ}}
կարծել,{{hy-conj-ել|հառ|mp=on}}
կծել,{{hy-conj-el|կծ}}
ատել,{{hy-conj-ել|ատ|mp=on}}
նկատել,{{hy-conj-ել|նկատ|mp=on}}
տշել,{{hy-conj-ել|տշ|mp=on}}
մկրտել,{{hy-conj-ել|mp=on}}
կեղել,{{hy-conj-ել|կեղ|mp=on}}
կեղեքել,{{hy-conj-ել|կեղեք|mp=on}}
տանջել,{{hy-conj-ել|տանջ|mp=on}}
ործկալ,{{hy-conj-ալ|ործկ}}
փսխել,{{hy-conj-ել|փսխ|caus=on}}
խառնել,{{hy-conj-ել|խառն|mp=on}}
գողանալ,{{hy-conj-ալ|գողան||գողաց|caus=on}}
ընդունել,{{hy-conj-ել|mp=on}}
աղերսել,{{hy-conj-ել|աղերս}}
հարգել,{{hy-conj-ել|հարգ|mp=on}}
գտնել,{{hy-conj-ել|գտն||գտ|mp=on}}
ծնել,{{hy-conj-ել|ծն|mp=on}}
ծնվել,{{hy-conj-ել|ծնվ}}
ծանուցել,{{hy-conj-el|ծանուց}}
ճանաչել,{{hy-conj-ել|ճանաչ}}
ծամել,{{hy-conj-ել|ծամ|mp=on|caus=on}}
ձուլել,{{hy-conj-ել|ձուլ|mp=on}}
գարշել,{{hy-conj-el|գարշ}}
քրտնել,{{hy-conj-ել|քրտն|caus=on}}
հանգչել,{{hy-conj-ել|հանգչ|caus=on}}{{hy-conj-ել|հանգչ||հանգ||caus=on}}
կոճկել,{{hy-conj-el|կոճկ}}
կերակրել,{{hy-conj-ել|կերակր|mp=on}}
թքել,{{hy-conj-ել|թք}}
փչել,{{hy-conj-ել|mp=on}}
շնչել,{{hy-conj-ել|mp=on}}
ծիծաղել,{{hy-conj-ել|ծիծաղ|caus=on}}
զգալ,{{hy-conj-ալ|զգ|caus=on}}
վախենալ,{{hy-conj-ալ|||վախեց}}
մեռնել,{{hy-conj-ել|մեռն||մեռ|caus=on}}
մահանալ,{{hy-conj-ալ|մահան||մահաց|caus=on}}
խփել,{{hy-conj-ել|խփ|mp=on}}{{hy-conj-ել|խփ|mp=on}}
հարվածել,{{hy-conj-el|հարված}}
բաժանել,{{hy-conj-el|բաժան|mp=on}}
խոցել,{{hy-conj-el|խոց}}
քորել,{{hy-conj-ել|քոր|mp=on}}
փորել,{{hy-conj-ել|փոր|mp=on}}
լողալ,{{hy-conj-ալ|լող|caus=on}}
լողանալ,{{hy-conj-ալ|լողան||լողաց|caus=on}}
խաբել,{{hy-conj-ել|խաբ|mp=on}}
ստել,{{hy-conj-el|ստ}}
նստել,{{hy-conj-el|նստ}}
շրջվել,{{hy-conj-el|շրջվ}}
ընկնել,{{hy-conj-ել|ընկն||ընկ}}
բռնել,{{hy-conj-el|բռն}}
սեղմել,{{hy-conj-el|սեղմ}}
ծեծել,{{hy-conj-ել|mp=on}}
ջնջել,{{hy-conj-ել|mp=on}}
մաքրել,{{hy-conj-el|մաքր}}
շփել,{{hy-conj-el|շփ}}
լվանալ,"{{hy-conj-ալ|լվան||լվաց|imp1=[[լվա՛]]|prohib1=[[մի՛]] [[լվա]]|aor=լվաց|caus=on|note=note the irregularity in aorist, which is conjugated with the help of corresponding forms of {{m|hy|լվալ|}}"
լվացվել,{{hy-conj-el|լվացվ}}
սրբել,{{hy-conj-el|սրբ}}
ձգել,{{hy-conj-el|ձգ}}
քաշել,{{hy-conj-ել|քաշ|mp=on}}
հրել,{{hy-conj-ել|հր|mp=on}}
նետել,{{hy-conj-ել|նետ|mp=on}}
կապել,{{hy-conj-ել|mp=on}}
կարել,{{hy-conj-ել|կար}}
ուռել,{{hy-conj-ել|ուռ|caus=on}}
սառչել,{{hy-conj-ել|սառչ}}
վառել,{{hy-conj-ել|վառ|mp=on}}
այրել,{{hy-conj-ել|այր}}
կրակել,{{hy-conj-el|կրակ}}
վառվել,{{hy-conj-el|վառվ}}
այրվել,{{hy-conj-el|այրվ}}
փտել,{{hy-conj-ել|փտ|caus=on}}
նեխել,{{hy-conj-el|նեխ}}
չորացնել,{{hy-conj-el|չորացն}}
